"precios" "NA"
"1800" 1 421.89
"1801" 2 409.06
"1802" 3 389.08
"1803" 4 390.88
"1804" 5 436.33
"1805" 6 459.05
"1806" 7 452.57
"1807" 8 472.28
"1808" 9 388.6
"1809" 10 390.78
"1810" 11 372.5
"1811" 12 291.25
"1812" 13 371.36
"1813" 14 355.46
"1814" 15 389.58
"1815" 16 333.94
"1816" 17 291.95
"1817" 18 232.65
"1818" 19 260.55
"1819" 20 268.55
"1820" 21 282.44
"1821" 22 306.79
"1822" 23 288.39
"1823" 24 295.43
"1824" 25 312.37
"1825" 26 364.54
"1826" 27 356.15
"1827" 28 314.18
"1828" 29 305.17
"1829" 30 299.41
"1830" 31 280.3
"1831" 32 282.85
"1832" 33 305.78
"1833" 34 323.36
"1834" 35 319.37
"1835" 36 309.07
"1836" 37 333.58
"1837" 38 323.77
"1838" 39 324.9
"1839" 40 312.15
"1840" 41 332.96
"1841" 42 328.8
"1842" 43 319.14
"1843" 44 308.7
"1844" 45 313.06
"1845" 46 330.54
"1846" 47 354.86
"1847" 48 337.82
"1848" 49 337.15
"1849" 50 350.63
"1850" 51 350.63
"1851" 52 334.32
"1852" 53 383.25
"1853" 54 474.58
"1854" 55 456.03
"1855" 56 432.47
"1856" 57 471.13
"1857" 58 438.29
"1858" 59 407.71
"1859" 60 394.12
"1860" 61 395.63
"1861" 62 385.27
"1862" 63 340.52
"1863" 64 427.38
"1864" 65 466.46
"1865" 66 398.52
"1866" 67 363.63
"1867" 68 282.1
"1868" 69 268.22
"1869" 70 283.38
"1870" 71 260.24
"1871" 72 312.27
"1872" 73 461.28
"1873" 74 362.81
"1874" 75 301.83
"1875" 76 320.87
"1876" 77 306.12
"1877" 78 276.96
"1878" 79 267.01
"1879" 80 309.87
"1880" 81 345.83
"1881" 82 294.36
"1882" 83 297.57
"1883" 84 264.89
"1884" 85 238.42
"1885" 86 191.77
"1886" 87 190.04
"1887" 88 195.22
"1888" 89 290.24
"1889" 90 238.42
"1890" 91 272.97
"1891" 92 226.32
"1892" 93 198.68
"1893" 94 188.31
"1894" 95 170.44
"1895" 96 201.51
"1896" 97 205.24
"1897" 98 210.84
"1898" 99 222.04
"1899" 100 330.26
"1900" 101 309.73
"1901" 102 315.33
"1902" 103 215.29
"1903" 104 236.69
"1904" 105 226.32
"1905" 106 272.97
"1906" 107 338.62
"1907" 108 354.85
"1908" 109 235.3
"1909" 110 231.76
"1910" 111 220.07
"1911" 112 213.25
"1912" 113 270.14
"1913" 114 252.51
"1914" 115 212.65
"1915" 116 271.84
"1916" 117 401.72
"1917" 118 365.72
"1918" 119 261.61
"1919" 120 176.13
"1920" 121 143.3
"1921" 122 112.29
"1922" 123 127.51
"1923" 124 135.54
"1924" 125 122.22
"1925" 126 128.29
"1926" 127 124.38
"1927" 128 119.42
"1928" 129 135.72
"1929" 130 168.73
"1930" 131 124.2
"1931" 132 86.66
"1932" 133 66.71
"1933" 134 88.51
"1934" 135 102.07
"1935" 136 101.87
"1936" 137 109.96
"1937" 138 143.32
"1938" 139 113.71
"1939" 140 126.66
"1940" 141 128.81
"1941" 142 128.01
"1942" 143 115.68
"1943" 144 108.98
"1944" 145 107.12
"1945" 146 104.74
"1946" 147 113.39
"1947" 148 149.78
"1948" 149 145.5
"1949" 150 128.48
"1950" 151 140.94
"1951" 152 148.15
"1952" 153 144.98
"1953" 154 170.32
"1954" 155 175.32
"1955" 156 218.8
"1956" 157 241.58
"1957" 158 169.09
"1958" 159 142.87
"1959" 160 167.59
"1960" 161 172.37
"1961" 162 159.09
"1962" 163 160.97
"1963" 164 159.04
"1964" 165 163.57
"1965" 166 176.23
"1966" 167 174.24
"1967" 168 179.24
"1968" 169 187.81
"1969" 170 203.94
"1970" 171 235.42
"1971" 172 201.51
"1972" 173 192.24
"1973" 174 210.32
"1974" 175 246.09
"1975" 176 187.29
"1976" 177 191.98
"1977" 178 173.01
"1978" 179 160.08
"1979" 180 201.7
"1980" 181 192.95
"1981" 182 145.38
"1982" 183 118.4
"1983" 184 120.55
"1984" 185 100.91
"1985" 186 97.73
"1986" 187 94.66
"1987" 188 113.98
"1988" 189 159.97
"1989" 190 165.84
"1990" 191 147.89
"1991" 192 125.99
"1992" 193 120.14
"1993" 194 99.9
"1994" 195 114.3
"1995" 196 99.86
"1996" 197 112
"1997" 198 117.6
