"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",0,39,85,7,0,9,90,85,68,0,36,82,41,38,31,72,21,0,9,77,78,1,0,0,80,63,1,0,18,62,42,48,37,80,13,6,78,93,24,0,0
"2",0,0,74,46,0,0,54,100,80,13,32,93,92,56,42,75,44,36,5,58,82,3,0,0,57,85,15,0,0,72,37,76,40,62,71,0,29,92,68,1,0
"3",0,46,69,2,0,0,74,97,48,0,21,100,80,85,25,69,85,5,66,72,86,42,0,42,62,65,70,0,56,48,35,97,82,100,25,5,68,89,40,0,0
"4",0,52,100,88,15,44,100,100,89,42,80,67,29,44,59,95,18,0,34,77,93,4,0,0,90,87,10,0,9,95,58,61,23,65,77,16,95,100,88,8,0
"5",0,54,82,5,0,22,100,100,74,0,45,100,100,91,25,57,65,60,22,71,82,71,2,0,100,88,42,14,28,77,65,37,14,85,17,14,82,100,51,0,0
"6",0,80,100,66,6,47,100,100,96,13,45,99,56,86,53,63,72,0,72,66,81,52,0,52,86,90,21,0,63,51,81,84,67,97,27,8,66,100,69,11,0
"7",0,52,97,55,2,0,86,100,96,6,12,99,69,92,24,58,60,2,30,74,80,22,0,0,82,80,10,0,5,88,52,60,30,78,51,7,55,91,61,2,0
"8",0,72,100,100,25,37,99,94,47,49,66,96,33,31,73,48,77,2,27,91,84,42,0,5,92,80,17,0,17,100,60,76,65,90,58,9,63,97,81,8,0
"9",0,50,100,32,0,21,99,100,94,19,54,98,29,85,52,73,78,0,42,73,87,49,0,2,80,80,49,0,6,89,63,71,38,81,63,26,95,100,88,14,0
"10",0,29,79,34,0,0,75,100,87,8,35,99,91,72,36,67,62,7,15,67,85,25,0,4,84,77,15,0,38,79,38,88,50,87,39,1,65,100,58,0,0
"11",28,93,100,87,18,18,87,100,93,43,37,100,100,81,9,53,100,100,65,9,100,100,100,75,0,84,100,100,75,0,68,100,100,81,9,0,40,87,100,68,1
"12",19,88,88,70,34,28,94,100,100,59,43,94,100,100,59,58,94,100,88,19,55,100,100,92,26,92,100,100,77,4,22,89,100,89,22,0,39,76,98,50,1
"13",20,94,100,63,2,31,96,100,90,7,28,96,100,75,0,57,100,100,62,0,70,100,100,59,0,57,100,100,33,0,83,100,94,35,0,26,66,100,99,54,1
"14",52,100,100,73,19,74,100,100,91,24,55,100,100,97,33,70,100,100,100,66,66,100,100,94,28,37,100,100,83,24,28,94,100,67,0,19,88,100,30,0,1
"15",12,75,100,100,59,69,100,100,100,38,48,100,100,93,24,28,100,100,93,24,38,100,100,69,8,59,100,100,81,16,16,81,100,63,4,0,40,95,100,48,1
"16",66,93,76,43,0,24,92,100,95,30,0,65,100,97,47,0,43,95,98,57,0,39,92,98,79,6,51,98,88,44,10,80,96,62,8,45,97,71,6,0,1
"17",0,56,100,97,51,11,82,100,95,30,12,83,100,84,13,37,100,100,89,22,26,92,100,88,20,63,92,100,85,15,8,80,100,100,37,0,52,85,100,56,1
"18",24,91,100,31,0,14,84,100,75,0,0,75,100,80,8,13,83,100,100,37,0,53,100,100,59,16,85,100,97,34,59,100,100,75,0,24,91,100,31,0,1
"19",32,96,100,92,35,50,96,100,100,46,73,100,100,85,16,5,78,100,100,55,16,85,100,100,73,26,92,100,100,55,64,100,100,89,21,35,92,100,89,21,1
"20",13,92,100,78,10,70,100,100,95,26,44,100,100,98,36,70,100,100,96,31,73,100,100,62,0,100,100,100,56,0,50,100,100,69,9,2,34,76,96,34,1
"21",1,53,74,0,0,50,92,56,13,0,49,35,36,31,0,0,7,43,46,0,4,76,90,44,0,45,39,69,77,32,76,39,58,0,50,74,72,10,0,0,2
"22",13,68,87,27,0,92,61,65,99,10,4,0,28,96,10,0,26,96,49,0,8,87,47,1,0,65,46,0,17,31,84,71,72,99,85,25,88,77,29,6,2
"23",10,79,66,0,0,24,43,67,0,0,0,6,60,0,0,1,65,24,0,0,51,48,0,0,0,59,0,5,40,70,88,66,97,85,35,74,91,28,0,0,2
"24",41,93,100,91,3,82,57,57,87,1,23,2,69,63,0,0,38,90,9,0,17,87,29,0,0,69,58,4,17,59,96,56,90,96,72,47,98,73,39,2,2
"25",0,30,63,66,0,61,98,52,68,0,77,22,19,69,0,1,0,70,30,0,0,19,59,0,0,0,65,10,9,38,34,86,45,90,48,50,89,60,30,0,2
"26",24,82,88,38,0,78,55,34,81,0,25,0,15,72,0,0,0,74,31,0,0,37,74,0,0,15,84,9,8,37,71,72,75,92,52,60,97,39,11,0,2
"27",13,81,85,45,0,75,72,70,79,0,25,3,82,34,0,0,46,66,0,0,13,78,4,0,0,63,33,0,0,0,94,45,50,57,95,87,100,77,63,13,2
"28",40,70,83,9,0,56,67,66,53,0,2,0,42,63,0,0,13,92,28,0,2,84,60,0,0,59,67,3,13,57,96,65,83,96,52,50,99,53,23,0,2
"29",37,82,100,20,0,22,53,83,58,0,0,2,93,28,0,0,58,84,5,0,33,92,11,0,0,82,53,0,0,11,89,76,73,77,94,62,100,74,57,12,2
"30",8,69,86,21,0,90,100,100,57,0,32,18,95,29,0,0,49,82,1,0,26,78,8,0,0,74,14,6,37,76,89,84,91,100,54,82,82,56,25,0,2
"31",47,85,100,90,17,47,50,41,85,60,0,0,7,81,60,9,65,87,100,27,4,51,47,62,50,2,2,0,22,78,60,52,41,83,75,17,81,85,48,2,3
"32",44,77,100,72,15,61,54,82,100,88,4,4,51,100,59,0,33,100,100,20,0,0,13,75,71,0,0,0,38,80,66,71,60,97,72,32,100,88,55,10,3
"33",41,88,100,75,34,45,70,75,97,69,5,62,97,67,12,9,72,84,28,0,0,0,12,66,43,0,0,0,11,88,88,45,64,92,67,29,91,66,39,1,3
"34",20,77,100,68,0,48,46,37,84,37,0,0,5,93,31,0,6,69,100,31,0,56,78,43,61,0,1,1,5,90,28,14,32,58,83,81,86,77,54,20,3
"35",68,88,100,100,61,62,68,38,33,100,0,9,10,57,97,2,84,100,100,40,0,35,34,56,45,0,0,0,0,78,65,51,24,40,91,37,88,100,74,23,3
"36",4,71,87,73,11,60,74,45,66,45,0,0,6,85,48,0,21,79,78,2,0,17,63,89,27,0,0,0,36,70,48,13,6,68,80,53,95,100,76,13,3
"37",22,71,99,93,80,72,42,11,14,100,0,0,11,83,50,0,41,84,99,39,6,63,26,14,75,0,0,0,7,82,10,12,8,52,65,13,91,97,70,6,3
"38",6,75,95,61,5,26,82,18,77,30,0,3,4,87,40,0,33,76,89,8,0,64,66,74,44,0,0,0,18,84,48,21,30,72,81,39,97,99,65,9,3
